exp_id,time_out,number_green_lights,end_vehicle_collision,initial_distance,end_other_collision,number_red_lights,result,weather,rep,final_distance,start_point,final_time,end_pedestrian_collision,end_point
0,222.9328,1,0,137.254028561033,1,1,0,8,0,198.18946671679123,19,222.9328,0,66
0,178.5718,1,0,148.2770446042084,0,0,0,8,0,132.12248230928643,79,178.5718,0,14
0,261.379,1,0,82.44995740175352,0,1,0,8,0,195.2952441786194,19,261.379,0,57
0,57.3184,0,0,91.35899511614316,0,2,1,8,0,1.9368852002881125,23,22.6,0,1
0,140.12560000000002,0,0,54.57222770489836,1,1,0,8,0,136.74252138021146,53,140.12560000000002,0,76
0,98.72200000000001,0,0,55.22654732886089,0,0,0,8,0,55.22664538757583,42,98.72200000000001,0,13
0,231.805,0,0,89.46937661816371,1,1,0,8,0,47.80839564981733,31,231.805,0,71
0,42.531400000000005,0,0,78.86738987016133,0,1,0,8,0,37.23840587666365,33,42.531400000000005,0,5
0,134.21079999999998,0,0,140.39951902339527,1,0,0,8,0,97.80737283078375,54,134.21079999999998,0,30
0,148.9978,0,0,87.3809326382538,0,3,0,8,0,123.69019629525374,10,148.9978,0,61
0,163.7848,2,0,120.57284625033812,1,0,0,8,0,87.28276782206218,66,163.7848,0,3
0,143.083,0,0,171.27173311587896,1,4,0,8,0,7.4109992374610805,27,143.083,0,12
0,98.72200000000001,1,0,188.96175492743774,0,3,1,8,0,1.5130000511083241,79,46.1,0,19
0,92.80720000000001,0,0,139.57549782236657,0,1,0,8,0,102.08758739429896,2,92.80720000000001,0,29
0,143.083,0,0,146.29400936669782,0,0,0,8,0,146.2939426122642,16,143.083,0,14
0,131.2534,0,0,159.582572624905,1,1,0,8,0,157.27189599373244,5,131.2534,0,57
0,199.2736,0,0,29.099990844726562,1,1,0,8,0,164.13799092705298,70,199.2736,0,73
0,184.48659999999998,3,0,216.58716977283558,0,2,0,8,0,182.8534546324922,46,184.48659999999998,0,67
0,86.8924,0,0,185.6375465647319,0,1,1,8,0,1.553957936211984,57,31.2,0,50
0,151.95520000000002,1,0,182.8779433458175,0,3,1,8,0,1.9132205333188959,61,72.1,0,49
0,86.8924,0,0,104.84421169526482,1,2,0,8,0,7.689600968990273,21,86.8924,0,12
0,140.12560000000002,0,0,256.9135130660495,0,0,0,8,0,256.9135776948289,51,140.12560000000002,0,81
0,72.10539999999999,0,0,172.33000946044922,0,2,1,8,0,1.8004958146095906,77,27.1,0,68
0,51.403600000000004,0,0,110.26999855042455,0,0,1,8,0,1.6536841534526971,56,17.4,0,65
0,113.50899999999999,0,0,197.4142280923546,1,1,0,8,0,184.13722300718533,43,113.50899999999999,0,54
0,222.9328,0,0,137.254028561033,1,1,0,1,0,165.83929438613362,19,222.9328,0,66
0,178.5718,0,0,148.2770446042084,1,2,0,1,0,58.93421547081446,79,178.5718,0,14
0,261.379,0,0,82.44995740175352,0,0,0,1,0,95.42915350050532,19,261.379,0,57
0,57.3184,0,0,91.35899511614316,1,2,0,1,0,13.590371510894249,23,57.3184,0,1
0,140.12560000000002,0,0,54.57222770489836,0,0,0,1,0,90.0645225659371,53,140.12560000000002,0,76
0,98.72200000000001,0,0,55.22654732886089,1,1,0,1,0,61.8470276670631,42,98.72200000000001,0,13
0,231.805,0,0,89.46937661816371,1,1,0,1,0,29.794909969181795,31,231.805,0,71
0,42.531400000000005,0,0,78.86738987016133,0,0,1,1,0,1.908592211052832,33,24.3,0,5
0,134.21079999999998,0,0,140.39951902339527,1,0,0,1,0,125.37932329215094,54,134.21079999999998,0,30
0,148.9978,0,0,87.3809326382538,1,1,0,1,0,146.74616128765334,10,148.9978,0,61
0,163.7848,0,0,120.57284625033812,0,0,0,1,0,189.10655689858035,66,163.7848,0,3
0,143.083,0,0,171.27173311587896,1,3,0,1,0,111.85189023569949,27,143.083,0,12
0,98.72200000000001,0,0,188.96175492743774,1,1,0,1,0,105.65697495892162,79,98.72200000000001,0,19
0,92.80720000000001,1,0,139.57549782236657,1,0,0,1,0,136.78730582452934,2,92.80720000000001,0,29
0,143.083,0,0,146.29400936669782,0,2,0,1,0,90.48376363120481,16,143.083,0,14
0,131.2534,0,0,159.582572624905,0,1,1,1,0,1.893360999379627,5,67.5,0,57
0,199.2736,0,0,29.099990844726562,0,0,0,1,0,216.52935234332884,70,199.2736,0,73
0,184.48659999999998,0,0,216.58716977283558,1,0,0,1,0,222.84129807100558,46,184.48659999999998,0,67
0,86.8924,0,0,185.6375465647319,1,0,0,1,0,180.40257571166813,57,86.8924,0,50
0,151.95520000000002,0,0,182.8779433458175,1,0,0,1,0,181.95220636007093,61,151.95520000000002,0,49
0,86.8924,0,0,104.84421169526482,1,1,0,1,0,113.8362330877178,21,86.8924,0,12
0,140.12560000000002,0,0,256.9135130660495,0,0,0,1,0,256.9135776948289,51,140.12560000000002,0,81
0,72.10539999999999,0,0,172.33000946044922,0,2,1,1,0,1.9335736498396061,77,29.0,0,68
0,51.403600000000004,0,0,110.26999855042455,0,0,0,1,0,65.48200998713642,56,51.403600000000004,0,65
0,113.50899999999999,0,0,197.4142280923546,1,2,0,1,0,74.49343019093718,43,113.50899999999999,0,54
0,222.9328,0,0,137.254028561033,1,1,0,14,0,173.7475734069146,19,222.9328,0,66
0,178.5718,0,0,148.2770446042084,1,1,0,14,0,124.85158607012657,79,178.5718,0,14
0,261.379,0,0,82.44995740175352,0,1,0,14,0,107.13222436647744,19,261.379,0,57
0,57.3184,0,0,91.35899511614316,0,2,1,14,0,1.7519575585300693,23,21.8,0,1
