initial_distance,time_out,number_red_lights,final_distance,rep,end_vehicle_collision,result,end_pedestrian_collision,exp_id,end_other_collision,final_time,start_point,weather,number_green_lights,end_point
188.96175492743774,98.72200000000001,2,167.58952614289836,0,0,0,0,0,1,98.72200000000001,79,14,0,19
139.57549782236657,92.80720000000001,1,135.84526180231455,0,0,0,0,0,1,92.80720000000001,2,14,0,29
146.29400936669782,143.083,3,94.18333259540742,0,0,0,0,0,1,143.083,16,14,0,14
159.582572624905,131.2534,1,147.65624383230215,0,0,0,0,0,1,131.2534,5,14,0,57
29.099990844726562,199.2736,0,210.4882280687478,0,0,0,0,0,0,199.2736,70,14,0,73
216.58716977283558,184.48659999999998,0,224.04955629389522,0,0,0,0,0,1,184.48659999999998,46,14,1,67
185.6375465647319,86.8924,0,178.90289101242448,0,0,0,0,0,1,86.8924,57,14,0,50
182.8779433458175,151.95520000000002,2,130.38232185625574,0,0,0,0,0,1,151.95520000000002,61,14,1,49
104.84421169526482,86.8924,0,100.80713980503207,0,0,0,0,0,1,86.8924,21,14,0,12
256.9135130660495,140.12560000000002,0,190.98201562254505,0,0,0,0,0,1,140.12560000000002,51,14,0,81
172.33000946044922,72.10539999999999,2,1.621186420437488,0,0,1,0,0,0,28.9,77,14,0,68
110.26999855042455,51.403600000000004,0,1.9079437358976616,0,0,1,0,0,0,27.4,56,14,0,65
197.4142280923546,113.50899999999999,2,129.00487186659885,0,0,0,0,0,0,113.50899999999999,43,14,0,54
