initial_distance,time_out,number_red_lights,final_distance,rep,end_vehicle_collision,result,end_pedestrian_collision,exp_id,end_other_collision,final_time,start_point,weather,number_green_lights,end_point
137.254028561033,222.9328,1,180.06375019833098,0,0,0,0,0,1,222.9328,19,8,0,66
148.2770446042084,178.5718,1,150.9033828123612,0,0,0,0,0,0,178.5718,79,8,0,14
82.44995740175352,261.379,1,114.163450342474,0,0,0,0,0,1,261.379,19,8,0,57
91.35899511614316,57.3184,2,1.8029795025182096,0,0,1,0,0,0,24.4,23,8,0,1
54.57222770489836,140.12560000000002,1,135.8789774610926,0,0,0,0,0,0,140.12560000000002,53,8,0,76
55.22654732886089,98.72200000000001,0,63.2326300403421,0,0,0,0,0,0,98.72200000000001,42,8,0,13
89.46937661816371,231.805,4,28.912581161305848,0,0,0,0,0,0,231.805,31,8,1,71
78.86738987016133,42.531400000000005,1,46.045845266940574,0,0,0,0,0,1,42.531400000000005,33,8,0,5
140.39951902339527,134.21079999999998,0,100.33837078718472,0,0,0,0,0,1,134.21079999999998,54,8,0,30
87.3809326382538,148.9978,2,159.80722598879868,0,0,0,0,0,1,148.9978,10,8,0,61
120.57284625033812,163.7848,0,88.00204787084674,0,0,0,0,0,0,163.7848,66,8,2,3
171.27173311587896,143.083,3,96.30382065201556,0,0,0,0,0,1,143.083,27,8,0,12
188.96175492743774,98.72200000000001,2,167.5289924915009,0,0,0,0,0,1,98.72200000000001,79,8,0,19
139.57549782236657,92.80720000000001,2,68.64703861130431,0,0,0,0,0,1,92.80720000000001,2,8,0,29
146.29400936669782,143.083,4,25.437257114764083,0,0,0,0,0,0,143.083,16,8,0,14
159.582572624905,131.2534,1,143.09973292697453,0,0,0,0,0,0,131.2534,5,8,0,57
29.099990844726562,199.2736,1,35.27917874199307,0,0,0,0,0,1,199.2736,70,8,0,73
216.58716977283558,184.48659999999998,0,226.00108583908818,0,0,0,0,0,0,184.48659999999998,46,8,1,67
185.6375465647319,86.8924,1,1.6665891760835687,0,0,1,0,0,0,34.7,57,8,0,50
182.8779433458175,151.95520000000002,3,1.463417683161763,0,0,1,0,0,0,69.2,61,8,1,49
104.84421169526482,86.8924,1,101.61403604865441,0,0,0,0,0,0,86.8924,21,8,0,12
256.9135130660495,140.12560000000002,0,256.9135776948289,0,0,0,0,0,0,140.12560000000002,51,8,0,81
172.33000946044922,72.10539999999999,2,1.6549391305720655,0,0,1,0,0,0,25.7,77,8,0,68
110.26999855042455,51.403600000000004,0,1.6083128668572018,0,0,1,0,0,0,24.2,56,8,0,65
197.4142280923546,113.50899999999999,1,195.50075293432343,0,0,0,0,0,0,113.50899999999999,43,8,0,54
137.254028561033,222.9328,1,165.0991287391372,0,0,0,0,0,1,222.9328,19,1,0,66
148.2770446042084,178.5718,2,105.3102965222524,0,0,0,0,0,1,178.5718,79,1,0,14
